 Solid density (kg/m3)
  1360.0
 Solid composition ww,wc,wv wa  (weight fractions)
   .2000   .4000   .2000   .2000
 Failure temperature (K)
   700.0
 Failure length (m)
   .0100
 Pressure (Pa)
 305000.
 Kinetic parameters for steam/char reaction, a(Pa.s)**-1, ta(K)
 4.10E-3 17500.0
 number of rows
 14
    tr    tb     vroof    vbed    dp       tp    qrad    gmflx    ywr
  500.0   500.0  0.0     0.0     0.0     0.0     0.0      0.0    0.0
  700.0   700.0  0.0     0.0     0.0     0.0     0.0      0.0    0.0
  808.6   850.0  2.61E-6 2.61E-6 9.99E-3 760.0   5.36E+3   .0682  .997
  845.6   900.0  3.82E-6 3.82E-6 9.98E-3 782.5   8.08E+3   .0997  .995
  882.5   950.0  5.28E-6 5.26E-6 9.97E-3 806.3   1.14E+4   .1370  .992
  919.5  1000.0  6.91E-6 6.88E-6 9.96E-3 831.6   1.55E+4   .1804  .986
  956.4  1050.0  8.87E-6 8.81E-6 9.93E-3 858.3   2.04E+4   .2311  .977
  993.5  1100.0  1.09E-5 1.07E-5 9.89E-3 886.2   2.62E+4   .2874  .962
 1027.9  1150.0  1.35E-5 1.32E-5 9.83E-3 911.8   3.36E+4   .3596  .945
 1062.5  1200.0  1.63E-5 1.59E-5 9.75E-3 937.9   4.22E+4   .4406  .919
 1100.5  1250.0  1.87E-5 1.79E-5 9.60E-3 974.5   5.13E+4   .5168  .870
 1131.0  1300.0  2.28E-5 2.17E-5 9.49E-3 993.5   6.40E+4   .6314  .835
 1162.5  1350.0  2.56E-5 2.38E-5 9.28E-31021.3   7.82E+4   .7591  .783
 1197.2  1400.0  2.91E-5 2.62E-5 9.00E-31052.2   9.34E+4   .8798  .701

